PLAYER_NAME,GP,GS,MIN,FG,3P,FT,REB,AST,STL,TO,BLK,PF,PTS,EFF,A.S.G,P.O.M,F.T,S.T,T.T,F.T.D,S.T.D,Seasons,Playoffs,Finals,titles,Retired,H.O.F
Alaa Abdelnaby,256,53,12.5,50.2,0.0,70.1,3.3,0.3,0.3,1.0,0.3,1.9,5.7,6.2,,,,,,,,5,3,1,0,1.0,0.0
Zaid Abdul-Aziz,505,0,21.8,42.8,--,72.8,8.0,1.2,0.6,0.9,1.0,2.2,9.0,13.5,,,,,,,,10,3,0,0,1.0,0.0
Kareem Abdul-Jabbar,1560,625,36.8,55.9,5.6,72.1,11.2,3.6,0.9,2.7,2.6,3.0,24.6,30.9,19.0,2.0,10.0,5.0,0.0,5.0,6.0,20,18,10,6,1.0,1.0
Mahmoud Abdul-Rauf,586,336,26.7,44.2,35.4,90.5,1.9,3.5,0.8,1.6,0.1,1.9,14.6,11.5,,,,,,,,9,2,0,0,1.0,0.0
Tariq Abdul-Wahad,236,145,20.4,41.7,23.7,70.3,3.3,1.1,0.8,1.3,0.4,2.1,7.8,7.1,,,,,,,,6,2,0,0,1.0,0.0
Shareef Abdur-Rahim,830,704,34.8,47.2,29.7,81.0,7.5,2.5,1.0,2.6,0.8,2.8,18.1,18.9,1.0,,,,,,,12,1,0,0,1.0,0.0
Tom Abernethy,319,0,17.0,49.2,0.0,74.7,3.2,1.2,0.6,0.5,0.2,1.6,5.6,7.6,,,,,,,,5,2,0,0,1.0,0.0
Forest Able,1,0,1.0,0.0,--,0.0,1.0,1.0,--,--,--,1.0,0.0,0.0,,,,,,,,1,0,0,0,1.0,0.0
John Abramovic,56,0,--,23.7,--,68.6,--,0.7,--,--,--,3.1,9.5,-2.5,,,,,,,,2,0,0,0,1.0,0.0
Álex Abrines,174,16,16.0,38.7,36.8,88.0,1.4,0.5,0.5,0.4,0.1,1.7,5.3,4.6,,,,,,,,3,2,0,0,0.0,0.0
Precious Achiuwa,107,27,16.9,47.1,28.6,53.3,4.9,0.8,0.4,0.8,0.5,1.7,6.0,8.2,,,,,,,,1,1,0,0,0.0,0.0
Alex Acker,30,0,7.8,37.0,32.0,50.0,1.0,0.5,0.2,0.4,0.1,0.4,2.7,2.1,,,,,,,,2,0,0,0,0.0,0.0
Don Ackerman,28,0,7.9,22.2,--,53.6,0.5,0.8,--,--,--,1.5,1.5,0.7,,,,,,,,1,1,0,0,1.0,0.0
Mark Acres,375,68,16.0,50.6,53.8,66.5,4.1,0.5,0.4,0.6,0.3,2.5,3.6,6.4,,,,,,,,6,2,0,0,1.0,0.0
Bud Acton,23,0,8.5,39.2,--,65.5,2.0,0.5,--,--,--,1.5,3.3,3.5,,,,,,,,1,0,0,0,1.0,0.0
Quincy Acy,337,60,16.0,44.4,35.0,75.9,3.5,0.6,0.4,0.6,0.4,2.0,4.9,6.7,,,,,,,,7,0,0,0,0.0,0.0
Alvan Adams,988,342,27.5,49.8,13.3,78.8,7.0,4.1,1.3,2.6,0.8,3.3,14.1,18.6,1.0,,,,,,,13,9,1,0,1.0,0.0
Don Adams,487,0,25.5,40.2,--,73.9,5.6,1.8,1.1,--,0.2,3.3,8.7,11.0,,,,,,,,7,3,0,0,1.0,0.0
Hassan Adams,73,8,7.5,53.4,0.0,64.3,1.2,0.2,0.2,0.4,0.1,0.7,2.5,2.7,,,,,,,,2,1,0,0,1.0,0.0
Jaylen Adams,41,1,10.9,33.1,32.9,77.8,1.5,1.6,0.3,0.7,0.1,1.1,2.7,3.7,,,,,,,,2,1,0,0,0.0,0.0
Jordan Adams,32,0,8.2,40.2,38.5,60.7,0.9,0.6,0.6,0.5,0.2,0.8,3.2,2.9,,,,,,,,2,1,0,0,0.0,0.0
Michael Adams,653,510,31.3,41.5,33.2,84.9,2.9,6.4,1.7,2.1,0.1,1.8,14.7,16.1,1.0,,,,,,,11,5,0,0,1.0,0.0
Steven Adams,642,577,26.8,58.7,7.7,55.0,7.9,1.4,0.9,1.4,0.9,2.5,9.4,15.0,,,,,,,,8,6,0,0,0.0,0.0
Rafael Addison,379,54,15.0,44.9,28.2,77.2,2.1,0.9,0.4,0.7,0.2,1.8,5.8,5.4,,,,,,,,6,2,0,0,1.0,0.0
Bam Adebayo,319,215,27.9,55.4,14.9,74.2,8.2,3.5,1.0,2.1,0.9,2.4,13.0,19.4,1.0,,,,,0.0,2.0,,,,,,0.0
Deng Adel,19,3,10.2,30.6,26.1,100.0,1.0,0.3,0.1,0.3,0.2,0.7,1.7,1.6,,,,,,,,1,0,0,0,0.0,0.0
Rick Adelman,462,0,22.6,41.5,--,71.3,2.4,3.5,0.9,--,0.1,2.1,7.7,9.0,,,,,,,,7,3,0,0,1.0,0.0
Jeff Adrien,153,17,14.0,47.4,0.0,62.8,4.3,0.7,0.3,0.6,0.5,1.7,4.6,7.2,,,,,,,,5,0,0,0,0.0,0.0
Arron Afflalo,762,537,27.3,45.0,38.6,82.5,2.9,1.8,0.4,1.1,0.2,1.9,10.8,9.8,,,,,,,,11,6,0,0,1.0,0.0
Maurice Ager,82,4,6.2,33.9,25.0,56.6,0.6,0.2,0.1,0.4,0.1,0.8,2.1,0.8,,,,,,,,4,1,0,0,1.0,0.0
Mark Aguirre,923,639,30.0,48.4,31.2,74.1,5.0,3.1,0.7,2.5,0.3,2.8,20.0,16.9,3.0,1.0,,,,,,13,9,2,2,1.0,0.0
